Tolerance,Size,Run,Dimension,Similarity,Happy_proportion,Coherence,Group1_similarity,Group2_similarity
0.25,0.01,1,1,0.9870883454856079,0.99,0,0.033527755,0.996720271
0.25,0.01,2,1,0.9866905383103615,0.99,0,0.018022318,0.9964750657894792
0.25,0.01,3,1,0.9870780145825528,0.99,0,0.031506029,0.9967302568660705
0.25,0.01,4,1,0.9873485571565324,0.99,0,0.043043575380435725,0.9968869913158869
0.25,0.01,5,1,0.9869626532839529,0.99,0,0.021518918073796123,0.9967146102052677
0.25,0.01,6,1,0.9869918475538397,0.99,0,0.036941806,0.9965883126163361
0.25,0.01,7,1,0.9872154757217152,0.99,0,0.039062402078199596,0.9967927794958922
0.25,0.01,8,1,0.9869368114061813,0.99,0,0.030879870223100507,0.9965939522262124
0.25,0.01,9,1,0.9870332576379138,0.99,0,0.03193534,0.9966807113473494
0.25,0.01,10,1,0.9868977577212174,0.99,0,0.033779084,0.9965252190700754
0.25,0.01,11,1,0.9868005927904455,0.99,0,0.029950694,0.9964657432848749
0.25,0.01,12,1,0.9870674185242745,0.99,0,0.028721364307117046,0.9967476816981852
0.25,0.01,13,1,0.9874924509042101,0.99,0,0.040268586918533564,0.9970603687222472
0.25,0.01,14,1,0.9870453321654109,0.99,0,0.034228259,0.9966697470412602
0.25,0.01,15,1,0.9869752100934028,0.99,0,0.032260996754254846,0.9966187880059195
0.25,0.01,16,1,0.9866535367757945,0.99,0,0.012016292652406104,0.9964983574235053
0.25,0.01,17,1,0.9868969299736734,0.99,0,0.024893547653275467,0.9966141358556976
0.25,0.01,18,1,0.9869753038456089,0.99,0,0.027813322551341092,0.9966638087071672
0.25,0.01,19,1,0.9872238147207117,0.99,0,0.017934434986197418,0.997014617
0.25,0.01,20,1,0.9873978791914357,0.99,0,0.067702809,0.9966877283860753
0.25,0.01,21,1,0.9870327942032782,0.99,0,0.029064110926119817,0.996709246
0.25,0.01,22,1,0.9871613779628213,0.99,0,0.029525123196119267,0.9968344714453133
0.25,0.01,23,1,0.9869493720698072,0.99,0,0.032299335625597905,0.9965923017308597
0.25,0.01,24,1,0.986616464,0.99,0,0.026620445,0.9963133932656579
0.25,0.01,25,1,0.9870713369041793,0.99,0,0.042839005136393514,0.996609037
0.25,0.01,26,1,0.9872346431483874,0.99,0,0.043680581,0.9967654922657816
0.25,0.01,27,1,0.9871302049482377,0.99,0,0.055595081,0.9965396506463629
0.25,0.01,28,1,0.9868950630923417,0.99,0,0.028796678721232222,0.9965728245506356
0.25,0.01,29,1,0.9871847540804208,0.99,0,0.034174021,0.9968111251184163
0.25,0.01,30,1,0.9869295670260451,0.99,0,0.020100849458317905,0.9966955136681432
0.25,0.01,31,1,0.9867721113568658,0.99,0,0.023363984,0.9965035065859471
0.25,0.01,32,1,0.987114581,0.99,0,0.025855292,0.9968242707201577
0.25,0.01,33,1,0.9868350807671206,0.99,0,0.021109332498705318,0.9965898863051854
0.25,0.01,34,1,0.9869653333237731,0.99,0,0.026340148058101847,0.9966686180234265
0.25,0.01,35,1,0.9871837589995247,0.99,0,0.013493090891118914,0.9970190182733469
0.25,0.01,36,1,0.9866988174880841,0.99,0,0.017233121244255918,0.9964914002784259
0.25,0.01,37,1,0.9872213752106074,0.99,0,0.022733359918564417,0.9969636783953754
0.25,0.01,38,1,0.9866263245063958,0.99,0,0.015456369905407585,0.9964361220276179
0.25,0.01,39,1,0.9869967733840526,0.99,0,0.017009767910644173,0.9967946219241881
0.25,0.01,40,1,0.9868064402319027,0.99,0,0.036365468,0.9964068540887199
0.25,0.01,41,1,0.9868396161672565,0.99,0,0.016570092467510185,0.996640318
0.25,0.01,42,1,0.9868374988008836,0.99,0,0.027644490572873666,0.996526317
0.25,0.01,43,1,0.9867752626239605,0.99,0,0.017117028,0.9965697902427474
0.25,0.01,44,1,0.9873583605615617,0.99,0,0.050627866111838705,0.9968202847479226
0.25,0.01,45,1,0.9869862276665421,0.99,0,0.0092641,0.9968622087518161
0.25,0.01,46,1,0.9867943703995378,0.99,0,0.012002193,0.9966407560277241
0.25,0.01,47,1,0.9866239942588401,0.99,0,0.015234925,0.996436005
0.25,0.01,48,1,0.987213205,0.99,0,0.018017065,0.9970030652236607
0.25,0.01,49,1,0.9870344689665242,0.99,0,0.031580155,0.9966855226473368
0.25,0.01,50,1,0.9869249337568464,0.99,0,0.038518902005908254,0.9965047926634215
0.25,0.01,51,1,0.9868525247708008,0.99,0,0.019273434188237952,0.9966260509383014
0.25,0.01,52,1,0.9871514942757948,0.99,0,0.042562131,0.9966928009705351
0.25,0.01,53,1,0.9870312319248629,0.99,0,0.025429412554638698,0.9967443816154712
0.25,0.01,54,1,0.9871985986535673,0.99,0,0.027239234815099815,0.9968951578842591
0.25,0.01,55,1,0.9872496954494998,0.99,0,0.040341623,0.9968144234541477
0.25,0.01,56,1,0.9869409127352757,0.99,0,0.027265595733391195,0.9966346028060019
0.25,0.01,57,1,0.9868312104806752,0.99,0,0.025430405,0.99654233
0.25,0.01,58,1,0.9870257722284604,0.99,0,0.025899637,0.9967341170240752
0.25,0.01,59,1,0.9867692874416872,0.99,0,0.017524976321032365,0.9965596340186635
0.25,0.01,60,1,0.9871673638395185,0.99,0,0.036869678169925264,0.9967663303614337
0.25,0.01,61,1,0.9869381470139512,0.99,0,0.020683452165982726,0.996698295
0.25,0.01,62,1,0.9869012427599163,0.99,0,0.029173731,0.9965752580345723
0.25,0.01,63,1,0.986774464,0.99,0,0.020002161,0.9965398406997366
