g1_t,g2_t,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence,g1_similarity,g2_similarity
0.5,0.05,35.0,1.0,0.5165472,1.0,30.0,514.08997,519.00446
0.9,0.05,35.0,2.0,0.90563273,1.0,88.0,903.30524,907.96027
0.5,0.05,36.0,1.0,0.5175974,1.0,30.0,515.4415,519.75323
0.9,0.05,36.0,2.0,0.9057166,1.0,87.0,903.2447,908.1885
0.5,0.05,37.0,1.0,0.5169612,1.0,28.0,514.28064,519.6418
0.9,0.05,37.0,2.0,0.90527874,1.0,92.0,903.25226,907.30524
0.5,0.05,38.0,1.0,0.5140006,1.0,32.0,512.2188,515.78235
0.9,0.05,38.0,2.0,0.9055168,1.0,90.0,903.23303,907.80066
0.5,0.05,39.0,1.0,0.5154484,1.0,36.0,514.4962,516.4006
0.9,0.05,39.0,2.0,0.90541226,1.0,88.0,903.3172,907.5074
0.5,0.05,40.0,1.0,0.51695776,1.0,35.0,513.07574,520.8398
0.9,0.05,40.0,2.0,0.90468657,1.0,88.0,903.084,906.2892
0.5,0.05,41.0,1.0,0.51586336,1.0,35.0,513.5474,518.17926
0.9,0.05,41.0,2.0,0.9050665,1.0,86.0,903.06305,907.06995
0.5,0.05,42.0,1.0,0.51585674,1.0,30.0,513.53345,518.18005
0.9,0.05,42.0,2.0,0.9053324,1.0,92.0,903.1358,907.529
0.5,0.05,43.0,1.0,0.51716465,1.0,36.0,515.61127,518.718
0.9,0.05,43.0,2.0,0.9057004,1.0,90.0,903.33435,908.06647
0.5,0.05,44.0,1.0,0.51547635,1.0,45.0,513.4878,517.4649
0.9,0.05,44.0,2.0,0.90551794,1.0,92.0,903.1557,907.88025
0.5,0.05,45.0,1.0,0.5172619,1.0,32.0,515.8099,518.714
0.9,0.05,45.0,2.0,0.9053766,1.0,94.0,902.9727,907.78046
0.5,0.05,46.0,1.0,0.5160684,1.0,46.0,512.92145,519.21533
0.9,0.05,46.0,2.0,0.90506476,1.0,89.0,903.2412,906.88824
0.5,0.05,47.0,1.0,0.51573503,1.0,35.0,512.48724,518.9827
0.9,0.05,47.0,2.0,0.90558696,1.0,90.0,903.34814,907.82574
0.5,0.05,48.0,1.0,0.5153283,1.0,40.0,513.59033,517.0662
0.9,0.05,48.0,2.0,0.90495557,1.0,96.0,903.03516,906.876
0.5,0.05,49.0,1.0,0.51526433,1.0,48.0,514.0507,516.47797
0.9,0.05,49.0,2.0,0.9049447,1.0,87.0,903.21747,906.672
0.5,0.05,50.0,1.0,0.5146873,1.0,33.0,512.2341,517.14056
0.9,0.05,50.0,2.0,0.9056995,1.0,90.0,903.36176,908.03723
0.5,0.05,51.0,1.0,0.51623064,1.0,38.0,512.37976,520.0815
0.9,0.05,51.0,2.0,0.90485543,1.0,95.0,903.19977,906.51117
0.5,0.05,52.0,1.0,0.51553166,1.0,31.0,514.1177,516.9457
0.9,0.05,52.0,2.0,0.90519315,1.0,91.0,903.1009,907.2854
0.5,0.05,53.0,1.0,0.51500803,1.0,35.0,512.7112,517.30493
0.9,0.05,53.0,2.0,0.90571576,1.0,92.0,903.3409,908.0906
0.5,0.05,54.0,1.0,0.516111,1.0,36.0,513.6518,518.5703
0.9,0.05,54.0,2.0,0.90498996,1.0,88.0,903.0315,906.9484
0.5,0.05,55.0,1.0,0.516976,1.0,27.0,513.7355,520.2165
0.9,0.05,55.0,2.0,0.90505135,1.0,97.0,903.01685,907.0859
0.5,0.05,56.0,1.0,0.515364,1.0,36.0,512.25165,518.4763
0.9,0.05,56.0,2.0,0.9051561,1.0,86.0,902.9436,907.36847
0.5,0.05,57.0,1.0,0.51657975,1.0,31.0,513.6635,519.496
0.9,0.05,57.0,2.0,0.9047669,1.0,90.0,903.2631,906.2707
0.5,0.05,58.0,1.0,0.51471335,1.0,37.0,511.58136,517.84534
0.9,0.05,58.0,2.0,0.90492857,1.0,93.0,902.9718,906.8854
0.5,0.05,59.0,1.0,0.51588583,1.0,35.0,513.04694,518.72473
0.9,0.05,59.0,2.0,0.9050974,1.0,92.0,903.17126,907.0236
0.5,0.05,60.0,1.0,0.514931,1.0,35.0,511.9142,517.9478
0.9,0.05,60.0,2.0,0.9055781,1.0,92.0,903.176,907.9801
0.5,0.05,61.0,1.0,0.51588297,1.0,31.0,513.4334,518.3325
0.9,0.05,61.0,2.0,0.9049356,1.0,89.0,902.8211,907.05005
0.5,0.05,62.0,1.0,0.5155627,1.0,34.0,512.3809,518.74445
0.9,0.05,62.0,2.0,0.90529644,1.0,88.0,903.2577,907.33527
0.5,0.05,63.0,1.0,0.5149827,1.0,37.0,513.31464,516.65076
0.9,0.05,63.0,2.0,0.90539765,1.0,89.0,903.1648,907.63055
0.5,0.05,64.0,1.0,0.51536715,1.0,37.0,512.08936,518.64496
0.9,0.05,64.0,2.0,0.9050074,1.0,91.0,902.9379,907.07697
0.5,0.05,65.0,1.0,0.515978,1.0,33.0,513.1336,518.8224
0.9,0.05,65.0,2.0,0.9055802,1.0,90.0,903.03827,908.12213
0.5,0.05,66.0,1.0,0.5160701,1.0,31.0,513.0041,519.13617
0.9,0.05,66.0,2.0,0.90578264,1.0,93.0,903.157,908.40826
0.5,0.05,67.0,1.0,0.51480734,1.0,42.0,512.8397,516.77496
0.9,0.05,67.0,2.0,0.905558,1.0,87.0,903.2051,907.9109
0.5,0.05,68.0,1.0,0.51680887,1.0,33.0,514.76776,518.8499
0.9,0.05,68.0,2.0,0.9045691,1.0,93.0,902.898,906.2402
0.5,0.05,69.0,1.0,0.5164996,1.0,31.0,513.65314,519.34595
0.9,0.05,69.0,2.0,0.9056235,1.0,89.0,903.06274,908.1842
0.5,0.05,70.0,1.0,0.5166971,1.0,32.0,513.82904,519.56525
0.9,0.05,70.0,2.0,0.90538067,1.0,90.0,903.09296,907.6684
0.5,0.05,71.0,1.0,0.51688445,1.0,38.0,513.5797,520.1892
0.9,0.05,71.0,2.0,0.9053974,1.0,90.0,903.174,907.62085
0.5,0.05,72.0,1.0,0.51574033,1.0,37.0,511.64944,519.83124
0.9,0.05,72.0,2.0,0.9058219,1.0,85.0,903.208,908.4358
0.5,0.05,73.0,1.0,0.51437783,1.0,35.0,512.5893,516.1663
0.9,0.05,73.0,2.0,0.90553635,1.0,90.0,903.03644,908.0363
0.5,0.05,74.0,1.0,0.5149839,1.0,36.0,512.45624,517.51154
0.9,0.05,74.0,2.0,0.90558606,1.0,87.0,903.29956,907.8725
0.5,0.05,75.0,1.0,0.51604474,1.0,31.0,515.88635,516.20306
0.9,0.05,75.0,2.0,0.90574515,1.0,91.0,903.16003,908.33026
0.5,0.05,76.0,1.0,0.516741,1.0,37.0,514.5932,518.8888
0.9,0.05,76.0,2.0,0.9051024,1.0,90.0,903.03766,907.167
0.5,0.05,77.0,1.0,0.51504886,1.0,34.0,513.0291,517.06854
0.9,0.05,77.0,2.0,0.90534216,1.0,92.0,903.4151,907.2692
0.5,0.05,78.0,1.0,0.51603657,1.0,34.0,512.3363,519.73676
0.9,0.05,78.0,2.0,0.90588444,1.0,89.0,903.36224,908.4066
0.5,0.05,79.0,1.0,0.5170672,1.0,32.0,513.95795,520.1765
0.9,0.05,79.0,2.0,0.90490997,1.0,88.0,903.08997,906.73
0.5,0.05,80.0,1.0,0.5155008,1.0,28.0,514.25806,516.7435
0.9,0.05,80.0,2.0,0.9055947,1.0,87.0,903.1137,908.0757
0.5,0.05,81.0,1.0,0.5153554,1.0,31.0,514.02814,516.6826
0.9,0.05,81.0,2.0,0.90525156,1.0,91.0,903.05115,907.45197
0.5,0.05,82.0,1.0,0.51611394,1.0,36.0,512.30505,519.92285
0.9,0.05,82.0,2.0,0.90517247,1.0,93.0,903.1051,907.23987
0.5,0.05,83.0,1.0,0.5163089,1.0,32.0,513.93744,518.6804
0.9,0.05,83.0,2.0,0.9055374,1.0,91.0,903.15466,907.92017
0.5,0.05,84.0,1.0,0.5151146,1.0,34.0,513.79565,516.43353
0.9,0.05,84.0,2.0,0.9050931,1.0,93.0,903.27673,906.9094
0.5,0.05,85.0,1.0,0.5150447,1.0,33.0,513.9493,516.1401
0.9,0.05,85.0,2.0,0.90529156,1.0,85.0,903.08374,907.4993
0.5,0.05,86.0,1.0,0.51544756,1.0,40.0,513.16223,517.7329
0.9,0.05,86.0,2.0,0.90534765,1.0,91.0,903.2755,907.41974
0.5,0.05,87.0,1.0,0.51482934,1.0,39.0,511.5879,518.07086
0.9,0.05,87.0,2.0,0.9062003,1.0,90.0,903.31805,909.0825
0.5,0.05,88.0,1.0,0.5149884,1.0,39.0,512.3649,517.61194
0.9,0.05,88.0,2.0,0.90519446,1.0,91.0,903.41,906.97894
0.5,0.05,89.0,1.0,0.5156478,1.0,32.0,511.7336,519.5621
0.9,0.05,89.0,2.0,0.9049179,1.0,88.0,902.8712,906.9646
0.5,0.05,90.0,1.0,0.5157812,1.0,38.0,512.58954,518.97296
0.9,0.05,90.0,2.0,0.9057514,1.0,88.0,903.212,908.2909
0.5,0.05,91.0,1.0,0.5154907,1.0,36.0,513.8272,517.15424
0.9,0.05,91.0,2.0,0.90523493,1.0,90.0,902.9292,907.54065
0.5,0.05,92.0,1.0,0.5156893,1.0,35.0,513.41846,517.9602
0.9,0.05,92.0,2.0,0.9055254,1.0,91.0,903.11334,907.93744
0.5,0.05,93.0,1.0,0.5164661,1.0,30.0,513.2777,519.6545
0.9,0.05,93.0,2.0,0.90536946,1.0,89.0,903.06464,907.6742
0.5,0.05,94.0,1.0,0.5173463,1.0,38.0,515.36224,519.33044
0.9,0.05,94.0,2.0,0.90578395,1.0,87.0,903.32355,908.2443
0.5,0.05,95.0,1.0,0.5163524,1.0,29.0,513.3896,519.3153
0.9,0.05,95.0,2.0,0.905333,1.0,86.0,903.0067,907.6593
0.5,0.05,96.0,1.0,0.5155819,1.0,33.0,513.4735,517.6903
0.9,0.05,96.0,2.0,0.905445,1.0,92.0,903.3207,907.5693
0.5,0.05,97.0,1.0,0.5148718,1.0,30.0,513.27606,516.46747
0.9,0.05,97.0,2.0,0.9045083,1.0,90.0,903.0745,905.9421
0.5,0.05,98.0,1.0,0.5177867,1.0,28.0,515.35535,520.218
0.9,0.05,98.0,2.0,0.9055241,1.0,91.0,903.1846,907.86365
0.5,0.05,99.0,1.0,0.51520395,1.0,34.0,513.4686,516.9394
0.9,0.05,99.0,2.0,0.9052652,1.0,86.0,902.9672,907.56323
0.5,0.05,100.0,1.0,0.5152488,1.0,29.0,512.2405,518.257
0.9,0.05,100.0,2.0,0.90577185,1.0,88.0,903.25745,908.2862
0.5,0.1,1.0,1.0,0.514176,1.0,32.0,511.88077,516.4712
0.9,0.1,1.0,2.0,0.905153,1.0,89.0,903.0171,907.2889
0.5,0.1,2.0,1.0,0.5142328,1.0,35.0,512.93463,515.53094
0.9,0.1,2.0,2.0,0.905637,1.0,87.0,903.183,908.09106
0.5,0.1,3.0,1.0,0.5143453,1.0,32.0,512.8914,515.7992
0.9,0.1,3.0,2.0,0.90582216,1.0,93.0,903.228,908.4163
0.5,0.1,4.0,1.0,0.51608115,1.0,36.0,512.72797,519.4343
0.9,0.1,4.0,2.0,0.9055531,1.0,88.0,903.12665,907.9796
0.5,0.1,5.0,1.0,0.51581526,1.0,33.0,512.66907,518.9615
0.9,0.1,5.0,2.0,0.9055788,1.0,93.0,903.1438,908.0138
0.5,0.1,6.0,1.0,0.5152921,1.0,33.0,513.7185,516.8657
0.9,0.1,6.0,2.0,0.90492374,1.0,88.0,903.00543,906.84204
0.5,0.1,7.0,1.0,0.51494026,1.0,41.0,511.9283,517.95215
0.9,0.1,7.0,2.0,0.90542716,1.0,86.0,902.99896,907.85535
0.5,0.1,8.0,1.0,0.5136512,1.0,34.0,512.773,514.52936
0.9,0.1,8.0,2.0,0.9059633,1.0,91.0,903.31274,908.61395
0.5,0.1,9.0,1.0,0.5146852,1.0,36.0,513.50934,515.8611
0.9,0.1,9.0,2.0,0.9050575,1.0,89.0,903.05786,907.0571
0.5,0.1,10.0,1.0,0.51462674,1.0,41.0,511.74255,517.5109
0.9,0.1,10.0,2.0,0.9051972,1.0,88.0,903.30945,907.08496
0.5,0.1,11.0,1.0,0.5168628,1.0,36.0,514.89026,518.8354
0.9,0.1,11.0,2.0,0.9047457,1.0,89.0,902.9645,906.527
0.5,0.1,12.0,1.0,0.5140811,1.0,34.0,512.83813,515.32416
0.9,0.1,12.0,2.0,0.9048785,1.0,89.0,902.93164,906.8254
0.5,0.1,13.0,1.0,0.5173541,1.0,33.0,515.6114,519.09674
0.9,0.1,13.0,2.0,0.90581393,1.0,96.0,903.3697,908.2582
0.5,0.1,14.0,1.0,0.51515555,1.0,36.0,513.70605,516.60504
0.9,0.1,14.0,2.0,0.90578777,1.0,86.0,903.17194,908.40356
0.5,0.1,15.0,1.0,0.51665545,1.0,40.0,512.4195,520.89136
0.9,0.1,15.0,2.0,0.9048511,1.0,90.0,903.0737,906.62836
0.5,0.1,16.0,1.0,0.5140148,1.0,33.0,512.1584,515.8712
0.9,0.1,16.0,2.0,0.9046668,1.0,88.0,902.91583,906.4178
0.5,0.1,17.0,1.0,0.51587266,1.0,49.0,513.4567,518.2885
0.9,0.1,17.0,2.0,0.9052855,1.0,92.0,903.16156,907.4094
0.5,0.1,18.0,1.0,0.51711977,1.0,28.0,514.1935,520.046
0.9,0.1,18.0,2.0,0.9055085,1.0,89.0,903.34656,907.6705
0.5,0.1,19.0,1.0,0.5147573,1.0,36.0,513.7765,515.73804
0.9,0.1,19.0,2.0,0.9053056,1.0,88.0,903.37787,907.2334
0.5,0.1,20.0,1.0,0.51406306,1.0,36.0,512.4977,515.6284
