Tolerance,Run,Dimension,Similaity_ratio,Happy_proportion,Coherence
0.2,1.0,1.0,0.49695,1.0,1.0
0.2,2.0,1.0,0.5002917,1.0,1.0
0.2,3.0,1.0,0.4985063,1.0,1.0
0.2,4.0,1.0,0.49760723,1.0,1.0
0.2,5.0,1.0,0.49556494,1.0,1.0
0.2,6.0,1.0,0.5009096,1.0,1.0
0.2,7.0,1.0,0.49795902,1.0,1.0
0.2,8.0,1.0,0.5002454,1.0,1.0
0.2,9.0,1.0,0.49982375,1.0,1.0
0.2,10.0,1.0,0.49988303,1.0,1.0
0.2,11.0,1.0,0.5027173,1.0,1.0
0.2,12.0,1.0,0.4965647,1.0,1.0
0.2,13.0,1.0,0.49905694,1.0,1.0
0.2,14.0,1.0,0.49766156,1.0,1.0
0.2,15.0,1.0,0.49865884,1.0,1.0
0.2,16.0,1.0,0.49855748,1.0,1.0
0.2,17.0,1.0,0.4997015,1.0,1.0
0.2,18.0,1.0,0.497882,1.0,1.0
0.2,19.0,1.0,0.49874565,1.0,1.0
0.2,20.0,1.0,0.49746028,1.0,1.0
0.2,21.0,1.0,0.49964085,1.0,1.0
0.2,22.0,1.0,0.49974218,1.0,1.0
0.2,23.0,1.0,0.50041664,1.0,1.0
0.2,24.0,1.0,0.50385994,1.0,1.0
0.2,25.0,1.0,0.4973392,1.0,1.0
0.2,26.0,1.0,0.4983526,1.0,1.0
0.2,27.0,1.0,0.4961052,1.0,1.0
0.2,28.0,1.0,0.5006487,1.0,1.0
0.2,29.0,1.0,0.49838933,1.0,1.0
0.2,30.0,1.0,0.49900296,1.0,1.0
0.2,31.0,1.0,0.49972966,1.0,1.0
0.2,32.0,1.0,0.5030026,1.0,1.0
0.2,33.0,1.0,0.49913743,1.0,1.0
0.2,34.0,1.0,0.50253874,1.0,1.0
0.2,35.0,1.0,0.49823466,1.0,1.0
0.2,36.0,1.0,0.49965635,1.0,1.0
0.2,37.0,1.0,0.49916974,1.0,1.0
0.2,38.0,1.0,0.49825376,1.0,1.0
0.2,39.0,1.0,0.4988613,1.0,1.0
0.2,40.0,1.0,0.49991557,1.0,1.0
0.2,41.0,1.0,0.49751684,1.0,1.0
0.2,42.0,1.0,0.5021968,1.0,1.0
0.2,43.0,1.0,0.49879152,1.0,1.0
0.2,44.0,1.0,0.49870107,1.0,1.0
0.2,45.0,1.0,0.4987705,1.0,1.0
0.2,46.0,1.0,0.49776682,1.0,1.0
0.2,47.0,1.0,0.5008642,1.0,1.0
0.2,48.0,1.0,0.5011914,1.0,1.0
0.2,49.0,1.0,0.5039605,1.0,1.0
0.2,50.0,1.0,0.5005843,1.0,1.0
0.2,51.0,1.0,0.49604294,1.0,1.0
0.2,52.0,1.0,0.499865,1.0,1.0
0.2,53.0,1.0,0.4984835,1.0,1.0
0.2,54.0,1.0,0.49990243,1.0,1.0
0.2,55.0,1.0,0.50162125,1.0,1.0
0.2,56.0,1.0,0.4993384,1.0,1.0
0.2,57.0,1.0,0.4998843,1.0,1.0
0.2,58.0,1.0,0.49893638,1.0,1.0
0.2,59.0,1.0,0.50077796,1.0,1.0
0.2,60.0,1.0,0.49505696,1.0,1.0
0.2,61.0,1.0,0.4975896,1.0,1.0
0.2,62.0,1.0,0.4974909,1.0,1.0
0.2,63.0,1.0,0.5011302,1.0,1.0
0.2,64.0,1.0,0.49706754,1.0,1.0
0.2,65.0,1.0,0.49906915,1.0,1.0
0.2,66.0,1.0,0.5009298,1.0,1.0
0.2,67.0,1.0,0.49657264,1.0,1.0
0.2,68.0,1.0,0.49887297,1.0,1.0
0.2,69.0,1.0,0.49936086,1.0,1.0
0.2,70.0,1.0,0.5026726,1.0,1.0
0.2,71.0,1.0,0.500035,1.0,1.0
0.2,72.0,1.0,0.49856615,1.0,1.0
0.2,73.0,1.0,0.49668992,1.0,1.0
0.2,74.0,1.0,0.4996363,1.0,1.0
0.2,75.0,1.0,0.5011093,1.0,1.0
0.2,76.0,1.0,0.4985982,1.0,1.0
0.2,77.0,1.0,0.4981368,1.0,1.0
0.2,78.0,1.0,0.49911517,1.0,1.0
0.2,79.0,1.0,0.4993593,1.0,1.0
0.2,80.0,1.0,0.4992968,1.0,1.0
0.2,81.0,1.0,0.50116175,1.0,1.0
0.2,82.0,1.0,0.49887383,1.0,1.0
0.2,83.0,1.0,0.50062615,1.0,1.0
0.2,84.0,1.0,0.49900505,1.0,1.0
0.2,85.0,1.0,0.4990884,1.0,1.0
0.2,86.0,1.0,0.49999312,1.0,1.0
0.2,87.0,1.0,0.49965292,1.0,1.0
0.2,88.0,1.0,0.49972072,1.0,1.0
0.2,89.0,1.0,0.49855107,1.0,1.0
0.2,90.0,1.0,0.49864885,1.0,1.0
0.2,91.0,1.0,0.50104207,1.0,1.0
0.2,92.0,1.0,0.50216013,1.0,1.0
0.2,93.0,1.0,0.4988686,1.0,1.0
0.2,94.0,1.0,0.501881,1.0,1.0
0.2,95.0,1.0,0.4978345,1.0,1.0
0.2,96.0,1.0,0.50036556,1.0,1.0
0.2,97.0,1.0,0.50028074,1.0,1.0
0.2,98.0,1.0,0.49868318,1.0,1.0
0.2,99.0,1.0,0.49837494,1.0,1.0
0.2,100.0,1.0,0.50033593,1.0,1.0
0.25,1.0,1.0,0.4982174,1.0,1.0
0.25,2.0,1.0,0.49748793,1.0,1.0
0.25,3.0,1.0,0.49962407,1.0,1.0
0.25,4.0,1.0,0.49999452,1.0,1.0
0.25,5.0,1.0,0.49864113,1.0,1.0
0.25,6.0,1.0,0.5007463,1.0,1.0
0.25,7.0,1.0,0.49791124,1.0,1.0
0.25,8.0,1.0,0.5012733,1.0,1.0
0.25,9.0,1.0,0.50139534,1.0,1.0
0.25,10.0,1.0,0.5005789,1.0,1.0
0.25,11.0,1.0,0.50518435,1.0,1.0
0.25,12.0,1.0,0.49764028,1.0,1.0
0.25,13.0,1.0,0.5023997,1.0,1.0
0.25,14.0,1.0,0.5020531,1.0,1.0
0.25,15.0,1.0,0.49710363,1.0,1.0
0.25,16.0,1.0,0.4991749,1.0,1.0
0.25,17.0,1.0,0.49996692,1.0,1.0
0.25,18.0,1.0,0.50140315,1.0,1.0
0.25,19.0,1.0,0.4991906,1.0,1.0
0.25,20.0,1.0,0.50183433,1.0,1.0
0.25,21.0,1.0,0.5040702,1.0,1.0
0.25,22.0,1.0,0.4978437,1.0,1.0
0.25,23.0,1.0,0.49976856,1.0,1.0
0.25,24.0,1.0,0.50173324,1.0,1.0
0.25,25.0,1.0,0.50076586,1.0,1.0
0.25,26.0,1.0,0.4983913,1.0,1.0
0.25,27.0,1.0,0.4999431,1.0,1.0
0.25,28.0,1.0,0.50110674,1.0,1.0
0.25,29.0,1.0,0.50090665,1.0,1.0
0.25,30.0,1.0,0.5010024,1.0,1.0
0.25,31.0,1.0,0.49998257,1.0,1.0
0.25,32.0,1.0,0.5006565,1.0,1.0
0.25,33.0,1.0,0.49946818,1.0,1.0
0.25,34.0,1.0,0.49662864,1.0,1.0
